년,월,시도,시군구,등록외국인 수
2022,03,제주특별자치도,제주시,13637
2022,03,충청남도,계룡시,185
2022,03,충청남도,공주시,1890
2022,03,충청남도,금산군,1891
2022,03,충청남도,논산시,3634
2022,03,충청남도,당진시,5021
2022,03,충청남도,보령시,2732
2022,03,충청남도,부여군,1142
2022,03,충청남도,서산시,3841
2022,03,충청남도,서천군,1233
2022,03,충청남도,아산시,16271
2022,03,충청남도,예산군,1955
2022,03,충청남도,천안시 동남구,7639
2022,03,충청남도,천안시 서북구,10178
2022,03,충청남도,청양군,607
2022,03,충청남도,태안군,1370
2022,03,충청남도,홍성군,2330
2022,03,충청북도,괴산군,810
2022,03,충청북도,단양군,167
2022,03,충청북도,보은군,484
2022,03,충청북도,영동군,793
2022,03,충청북도,옥천군,662
2022,03,충청북도,음성군,8385
2022,03,충청북도,제천시,1451
2022,03,충청북도,증평군,850
2022,03,충청북도,진천군,5436
2022,03,충청북도,청주시 상당구,1094
2022,03,충청북도,청주시 서원구,2524
2022,03,충청북도,청주시 청원구,3689
2022,03,충청북도,청주시 흥덕구,4922
2022,03,충청북도,충주시,4523
2022,04,강원도,강릉시,2339
2022,04,강원도,고성군,1215
2022,04,강원도,동해시,724
2022,04,강원도,삼척시,630
2022,04,강원도,속초시,1041
2022,04,강원도,양구군,315
2022,04,강원도,양양군,290
2022,04,강원도,영월군,230
2022,04,강원도,원주시,3325
2022,04,강원도,인제군,291
2022,04,강원도,정선군,260
2022,04,강원도,철원군,629
2022,04,강원도,춘천시,3782
2022,04,강원도,태백시,246
2022,04,강원도,평창군,434
2022,04,강원도,홍천군,772
2022,04,강원도,화천군,214
2022,04,강원도,횡성군,733
2022,04,경기도,가평군,1033
2022,04,경기도,고양시 덕양구,4262
2022,04,경기도,고양시 일산동구,3772
2022,04,경기도,고양시 일산서구,2944
2022,04,경기도,과천시,193
2022,04,경기도,광명시,3435
2022,04,경기도,광주시,10834
2022,04,경기도,구리시,1417
2022,04,경기도,군포시,5488
2022,04,경기도,김포시,17704
2022,04,경기도,남양주시,7096
2022,04,경기도,동두천시,3292
2022,04,경기도,부천시,23748
2022,04,경기도,성남시 분당구,2667
2022,04,경기도,성남시 수정구,8836
2022,04,경기도,성남시 중원구,2465
2022,04,경기도,수원시 권선구,8673
2022,04,경기도,수원시 영통구,7075
2022,04,경기도,수원시 장안구,6425
2022,04,경기도,수원시 팔달구,11304
2022,04,경기도,시흥시,31376
2022,04,경기도,안산시 단원구,33954
2022,04,경기도,안산시 상록구,12387
2022,04,경기도,안성시,10897
2022,04,경기도,안양시 동안구,1548
2022,04,경기도,안양시 만안구,4554
2022,04,경기도,양주시,6707
2022,04,경기도,양평군,1299
2022,04,경기도,여주시,3166
