강좌명,대상,기간
2021년 하반기 광진정보도서관 청소년독서회(중학교 1학년),청소년,2021.09.11(토)~2021.12.18(토)
환경UP 창의력UP 그림책 업사이클링 (2021 3분기 광진정보도서관 교육문화프로그램),어린이,2021.09.04(토)~2021.09.25(토)
[메이커-교육] 웹툰창작 성인반 참가자 모집 (온라인),성인,2021.09.02(목)~2021.11.04(목)
'한강 문학 살롱' 이다혜 작가와의 만남(ZOOM 온라인),전연령,2021.08.24(화)~2021.08.24(화)
한가람 인문학: 도서관에서 철학하기 심화과정(김효영 연구원/ZOOM 온라인),전연령,2021.09.09(목)~2021.09.30(목)
한가람 인문학: 도서관에서 철학하기 기초과정(이진경 작가/ZOOM 온라인),전연령,2021.08.12(목)~2021.08.26(목)
[메이커-작업] 성인창작(3D모델링으로 피규어 만들기/Fusion360) 팹라이브러리 프로그램 참가자 모집,성인,2021.08.22(일)~2021.10.24(일)
팹 라이브러리 장비사용교육(8/28),전연령,2021.08.28(토)~2021.08.28(토)
팹 라이브러리 장비사용교육(8/14),전연령,2021.08.14(토)~2021.08.14(토)
"<팹 라이브러리에서 놀자!_리쏘페인 3D프린터편(8/13, 8/20, 8/27)>",전연령,2021.08.13(금)~2021.08.27(금)
[메이커-교육] 온라인 웹툰창작 초급반 참가자 모집,어린이,2021.08.22(일)~2021.11.07(일)
"'고양이 해결사 깜냥' 홍민정 저자와의 만남(어린이, 만남의 광장)",어린이,2021.08.17(화)~2021.08.17(화)
처음 만나는 한국사 북아트 (2021 3분기 광진정보도서관 교육문화프로그램) ,어린이,2021.08.07(토)~2021.09.25(토)
와글와글 과학놀터 (2021 3분기 광진정보도서관 교육문화프로그램) ,어린이,2021.08.07(토)~2021.09.25(토)
